,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
176,"You Need To Calm Down","Taylor Swift",744225,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
177,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,743763,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
178,"Adicto (with Anuel AA & Ozuna)",Tainy,742873,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
179,"me & ur ghost",blackbear,742623,https://open.spotify.com/track/4yJiXq86uM56uIfIZgE440
180,"Higher Love",Kygo,741538,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
181,"Can We Kiss Forever?",Kina,741364,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
182,I.F.L.Y.,Bazzi,731128,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
183,"Soltera - Remix",Lunay,730061,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
184,"Better Now","Post Malone",729354,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
185,Starboy,"The Weeknd",727187,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
186,"My Time",BTS,723172,https://open.spotify.com/track/4vTgx6h4seHvkuFh84JXYP
187,"Boss Bitch","Doja Cat",722990,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
188,"Trampoline (with ZAYN)",SHAED,722886,https://open.spotify.com/track/2ez6qvOTHKeI3ss80NGqnI
189,Takeaway,"The Chainsmokers",719509,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
190,GOODMORNINGTOKYO!,"TOKYO’S REVENGE",717839,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
191,"QUE PRETENDES","J Balvin",716472,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
192,"Hate Me (with Juice WRLD)","Ellie Goulding",715815,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
193,"If I Can't Have You","Shawn Mendes",715727,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
194,"bury a friend","Billie Eilish",714424,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
195,Youngblood,"5 Seconds of Summer",709985,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
196,"Be Alright","Dean Lewis",707396,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
197,Matrix,"Apache 207",705469,https://open.spotify.com/track/7ygVaACDENw4PgLbN1awFE
198,"The Less I Know The Better","Tame Impala",701119,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
199,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,700136,https://open.spotify.com/track/1v7L65Lzy0j0vdpRjJewt1
200,Quizas,"Rich Music LTD",697903,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
